78820,c,O
78820,o,O
78820,n,O
78820,c,O
78820,e,O
78820,r,O
78820,n,O
78820,i,O
78820,n,O
78820,g,O
78820, ,O
78820,t,O
78820,h,O
78820,e,O
78820, ,O
78820,c,B-Credit Default Swap
78820,r,I-Credit Default Swap
78820,e,I-Credit Default Swap
78820,d,I-Credit Default Swap
78820,i,I-Credit Default Swap
78820,t,I-Credit Default Swap
78820, ,I-Credit Default Swap
78820,d,I-Credit Default Swap
78820,e,I-Credit Default Swap
78820,f,I-Credit Default Swap
78820,a,I-Credit Default Swap
78820,u,I-Credit Default Swap
78820,l,I-Credit Default Swap
78820,t,I-Credit Default Swap
78820, ,I-Credit Default Swap
78820,s,I-Credit Default Swap
78820,w,I-Credit Default Swap
78820,a,I-Credit Default Swap
78820,p,I-Credit Default Swap
78820, ,O
78820,a,O
78820,g,O
78820,r,O
78820,e,O
78820,e,O
78820,m,O
78820,e,O
78820,n,O
78820,t,O
78820,s,O
78820, ,O
78820,o,O
78820,u,O
78820,t,O
78820,s,O
78820,t,O
78820,a,O
78820,n,O
78820,d,O
78820,i,O
78820,n,O
78820,g,O
78820, ,O
78820,f,O
78820,o,O
78820,r,O
78820, ,O
78820,t,O
78820,h,O
78820,e,O
78820, ,O
78820,I,O
78820,N,O
78820,G,O
78820, ,O
78820,V,O
78820,P,O
78841,<,O
78841,p,O
78841, ,O
78841,a,O
78841,l,O
78841,i,O
78841,g,O
78841,n,O
78841,=,O
78841,"""",O
78841,c,O
78841,e,O
78841,n,O
78841,t,O
78841,e,O
78841,r,O
78841,"""",O
78841, ,O
78841,s,O
78841,t,O
78841,y,O
78841,l,O
78841,e,O
78841,=,O
78841,"""",O
78841,m,O
78841,a,O
78841,r,O
78841,g,O
78841,i,O
78841,n,O
78841,:,O
78841,0,O
78841,i,O
78841,n,O
78841, ,O
78841,0,O
78841,i,O
78841,n,O
78841, ,O
78841,.,O
78841,0,O
78841,0,O
78841,0,O
78841,1,O
78841,p,O
78841,t,O
78841,;,O
78841,t,O
78841,e,O
78841,x,O
78841,t,O
78841,-,O
78841,a,O
78841,l,O
78841,i,O
78841,g,O
78841,n,O
78841,:,O
78841,c,O
78841,e,O
78841,n,O
78841,t,O
78841,e,O
78841,r,O
78841,;,O
78841,"""",O
78841,>,O
78841,<,O
78841,b,O
78841,>,O
78841,<,O
78841,f,O
78841,o,O
78841,n,O
78841,t,O
78841, ,O
78841,s,O
78841,i,O
78841,z,O
78841,e,O
78841,=,O
